id,latitude,longitude,SiteName,StartLat,StartLong,EndLat,EndLong
RWS01_MONIBAS_0151hrr0966ra,51.84641,4.9634,0151hrr0966ra,,,,
RWS01_MONIBAS_0151hrr0966ra0,51.84641,4.9634,0151hrr0966ra0,51.84641,4.9634,51.84655,4.97099
RWS01_MONIBAS_0151hrr0972ra,51.84655,4.97099,0151hrr0972ra,,,,
RWS01_MONIBAS_0151hrr0972ra0,51.84655,4.97099,0151hrr0972ra0,51.84655,4.97099,51.84669,4.97779
RWS01_MONIBAS_0151hrr0976ra,51.84669,4.97779,0151hrr0976ra,,,,
RWS01_MONIBAS_0151hrr0976ra0,51.84669,4.97779,0151hrr0976ra0,51.84669,4.97779,51.8466,4.98524
RWS01_MONIBAS_0151hrr0981ra,51.8466,4.98524,0151hrr0981ra,,,,
RWS01_MONIBAS_0151hrr0981ra0,51.8466,4.98524,0151hrr0981ra0,51.8466,4.98524,51.8458,4.99154
RWS01_MONIBAS_0151hrr0986ra,51.8458,4.99154,0151hrr0986ra,,,,
RWS01_MONIBAS_0151hrr0986ra0,51.8458,4.99154,0151hrr0986ra0,51.8458,4.99154,51.84466,4.9979
RWS01_MONIBAS_0151hrr0990ra,51.84466,4.9979,0151hrr0990ra,,,,
RWS01_MONICA_00D005022429D0070007,52.39334,4.78376,00D005022429D0070007,,,,
RWS01_MONICA_00D005022429D007000B,52.39334,4.78376,00D005022429D007000B,,,,
RWS01_MONICA_00D005022C6210200005,52.39304,4.77836,00D005022C6210200005,,,,
RWS01_MONICA_00D005023033D0050005,52.39346,4.78829,00D005023033D0050005,,,,
RWS01_MONICA_00D005023033D0050009,52.39346,4.78829,00D005023033D0050009,,,,
RWS01_MONICA_00D005023047D0070007,52.39332,4.7886,00D005023047D0070007,,,,
RWS01_MONICA_00D005023047D007000B,52.39332,4.7886,00D005023047D007000B,,,,
RWS01_MONICA_00D005023047D0070307,52.39332,4.7886,00D005023047D0070307,,,,
RWS01_MONICA_00D005023C4AD0050005,52.39346,4.79304,00D005023C4AD0050005,,,,
RWS01_MONICA_00D005023C4AD0050009,52.39346,4.79304,00D005023C4AD0050009,,,,
RWS01_MONIBAS_0201hrr0444ra,51.99038,4.63605,0201hrr0444ra,,,,
RWS01_MONIBAS_0201hrr0444ra0,51.99038,4.63605,0201hrr0444ra0,51.99038,4.63605,51.99359,4.64117
RWS01_MONIBAS_0201hrr0449ra,51.99359,4.64117,0201hrr0449ra,,,,
RWS01_MONIBAS_0201hrr0449ra0,51.99359,4.64117,0201hrr0449ra0,51.99359,4.64117,51.99584,4.64475
RWS01_MONIBAS_0201hrr0452ra,51.99584,4.64475,0201hrr0452ra,,,,
RWS01_MONIBAS_0201hrr0452ra0,51.99584,4.64475,0201hrr0452ra0,51.99584,4.64475,51.999,4.64969
RWS01_MONIBAS_0201hrr0457ra,51.999,4.64969,0201hrr0457ra,,,,
RWS01_MONIBAS_0201hrr0457ra0,51.999,4.64969,0201hrr0457ra0,51.999,4.64969,52.00194,4.65272
RWS01_MONIBAS_0201hrr0461ra,52.00194,4.65272,0201hrr0461ra,,,,
RWS01_MONIBAS_0201hrr0461ra0,52.00194,4.65272,0201hrr0461ra0,52.00194,4.65272,52.00521,4.65433
RWS01_MONIBAS_0201hrr0465ra,52.00521,4.65433,0201hrr0465ra,,,,
RWS01_MONIBAS_0201hrr0465ra0,52.00521,4.65433,0201hrr0465ra0,52.00521,4.65433,52.00951,4.65592
RWS01_MONIBAS_0201hrr0470ra,52.00951,4.65592,0201hrr0470ra,,,,
RWS01_MONIBAS_0201hrr0470ra0,52.00951,4.65592,0201hrr0470ra0,52.00951,4.65592,52.01393,4.65536
RWS01_MONIBAS_0201hrr0475ra,52.01393,4.65536,0201hrr0475ra,,,,
RWS01_MONIBAS_0201hrr0475ra0,52.01393,4.65536,0201hrr0475ra0,52.01393,4.65536,52.01636,4.65344
RWS01_MONIBAS_0201hrr0478ra,52.01636,4.65344,0201hrr0478ra,,,,
RWS01_MONIBAS_0201hrr0478ra0,52.01636,4.65344,0201hrr0478ra0,52.01636,4.65344,52.02071,4.65416
RWS01_MONIBAS_0201hrr0483ra,52.02071,4.65416,0201hrr0483ra,,,,
RWS01_MONIBAS_0201hrr0483ra0,52.02071,4.65416,0201hrr0483ra0,52.02071,4.65416,52.0237,4.66048
RWS01_MONIBAS_0220vwa0130ra,52.47251,4.65277,0220vwa0130ra,,,,
RWS01_MONIBAS_0220vwb0109ra,52.4536,4.65862,0220vwb0109ra,,,,
RWS01_MONIBAS_0121hrl0170ra,52.03981,4.52558,0121hrl0170ra,,,,
RWS01_MONIBAS_0121hrl0170ra0,52.03981,4.52558,0121hrl0170ra0,52.03981,4.52558,52.04176,4.51801
RWS01_MONIBAS_0121hrl0176ra,52.03796,4.53379,0121hrl0176ra,,,,
RWS01_MONIBAS_0121hrl0176ra0,52.03796,4.53379,0121hrl0176ra0,52.03796,4.53379,52.03981,4.52558
RWS01_MONIBAS_0121hrl0184ra,52.03573,4.5441,0121hrl0184ra,,,,
RWS01_MONIBAS_0121hrl0184ra0,52.03573,4.5441,0121hrl0184ra0,52.03573,4.5441,52.03796,4.53379
RWS01_MONIBAS_0121hrl0189ra,52.03371,4.55128,0121hrl0189ra,,,,
RWS01_MONIBAS_0121hrl0189ra0,52.03371,4.55128,0121hrl0189ra0,52.03371,4.55128,52.03573,4.5441
RWS01_MONIBAS_0121hrl0193ra,52.03239,4.55647,0121hrl0193ra,,,,
RWS01_MONIBAS_0121hrl0193ra0,52.03239,4.55647,0121hrl0193ra0,52.03239,4.55647,52.03371,4.55128
RWS01_MONIBAS_0121hrl0196ra,52.03135,4.5609,0121hrl0196ra,,,,
RWS01_MONIBAS_0141hrr0128ra,52.09064,4.37574,0141hrr0128ra,,,,
RWS01_MONIBAS_0141hrr0128ra0,52.09064,4.37574,0141hrr0128ra0,52.09064,4.37574,52.08626,4.37834
RWS01_MONIBAS_0141hrr0132ra,52.08715,4.3777,0141hrr0132ra,,,,
RWS01_MONIBAS_0141hrr0133ra,52.08626,4.37834,0141hrr0133ra,,,,
RWS01_MONIBAS_0141hrr0133ra0,52.08626,4.37834,0141hrr0133ra0,52.08626,4.37834,52.08165,4.383
RWS01_MONIBAS_0141hrr0137ra,52.08332,4.38062,0141hrr0137ra,,,,
RWS01_MONIBAS_0141hrr0138ra,52.08266,4.38152,0141hrr0138ra,,,,
RWS01_MONIBAS_0141hrr0139ra,52.08165,4.383,0141hrr0139ra,,,,
RWS01_MONIBAS_0141hrr0139ra0,52.08165,4.383,0141hrr0139ra0,52.08165,4.383,52.07863,4.38732
RWS01_MONIBAS_0141hrr0141ra,52.08064,4.38444,0141hrr0141ra,,,,
RWS01_MONIBAS_0141hrr0142ra,52.07964,4.38588,0141hrr0142ra,,,,
RWS01_MONIBAS_0281hrl0118ra,52.11609,5.30972,0281hrl0118ra,,,,
RWS01_MONIBAS_0281hrl0121ra,52.11633,5.31399,0281hrl0121ra,,,,
RWS01_MONIBAS_0281hrl0121ra0,52.11633,5.31399,0281hrl0121ra0,52.11633,5.31399,52.11574,5.30499
RWS01_MONIBAS_0281hrl0127ra,52.11721,5.32258,0281hrl0127ra,,,,
RWS01_MONIBAS_0281hrl0127ra0,52.11721,5.32258,0281hrl0127ra0,52.11721,5.32258,52.11633,5.31399
RWS01_MONIBAS_0281hrl0133ra,52.1194,5.33055,0281hrl0133ra,,,,
RWS01_MONIBAS_0281hrl0133ra0,52.1194,5.33055,0281hrl0133ra0,52.1194,5.33055,52.11721,5.32258
RWS01_MONIBAS_0281hrl0137ra,52.12137,5.33587,0281hrl0137ra,,,,
RWS01_MONIBAS_0281hrl0137ra0,52.12137,5.33587,0281hrl0137ra0,52.12137,5.33587,52.1194,5.33055
RWS01_MONIBAS_0281hrl0140ra,52.12297,5.34018,0281hrl0140ra,,,,
RWS01_MONIBAS_0281hrl0140ra0,52.12297,5.34018,0281hrl0140ra0,52.12297,5.34018,52.12137,5.33587
RWS01_MONIBAS_0091hrl0453ra,52.40596,4.70302,0091hrl0453ra,,,,
RWS01_MONIBAS_0091hrl0453ra0,52.40596,4.70302,0091hrl0453ra0,52.40596,4.70302,52.40202,4.70449
RWS01_MONIBAS_0091hrl0456ra,52.40852,4.70166,0091hrl0456ra,,,,
RWS01_MONIBAS_0091hrl0456ra0,52.40852,4.70166,0091hrl0456ra0,52.40852,4.70166,52.40596,4.70302
RWS01_MONIBAS_0091hrl0458ra,52.41108,4.70031,0091hrl0458ra,,,,
RWS01_MONIBAS_0091hrl0458ra0,52.41108,4.70031,0091hrl0458ra0,52.41108,4.70031,52.40852,4.70166
RWS01_MONIBAS_0091hrl0462ra,52.41365,4.69895,0091hrl0462ra,,,,
RWS01_MONIBAS_0091hrl0462ra0,52.41365,4.69895,0091hrl0462ra0,52.41365,4.69895,52.41108,4.70031
RWS01_MONIBAS_0091hrl0467ra,52.41776,4.69603,0091hrl0467ra,,,,
RWS01_MONIBAS_0091hrl0467ra0,52.41776,4.69603,0091hrl0467ra0,52.41776,4.69603,52.41365,4.69895
RWS01_MONIBAS_0091hrl0471ra,52.42066,4.69254,0091hrl0471ra,,,,
RWS01_MONIBAS_0091hrl0473ra,52.42205,4.69023,0091hrl0473ra,,,,
RWS01_MONIBAS_0091hrl0473ra0,52.42205,4.69023,0091hrl0473ra0,52.42205,4.69023,52.41776,4.69603
RWS01_MONIBAS_0091hrl0476ra,52.4238,4.68701,0091hrl0476ra,,,,
